"id_site";"ii";"wmo_id";"wmo_id_bufr_fr";"site_name";"region_num";"MF_identifier";"latitude_wgs84";"longitude_wgs84";"altitude_site";"tower_height";"nom_fichier_altitudeterrain";"DPOL_hardware_mode";"indicateur_panne"
1;40;7005;7005;"Abbeville";80;"ABBE";50.1359528;1.8346981;71.1;12.5;"";4;0
2;41;7510;7510;"Bordeaux";33;"BORD";44.8314658;-0.6918806;46;21.3;"";4;0
3;42;7255;7255;"Bourges";18;"BOUR";47.0586142;2.3595472;162.2;11.3;"";0;0
4;43;7468;7468;"Moucherotte";38;"MOUC";45.1477222;5.6393889;1895;14;"";4;0
5;44;7436;7436;"Grezes";24;"GREZ";45.1044014;1.3696689;350.6;9.7;"";4;0
6;45;7129;7027;"Falaise";14;"CAEN";48.9271606;-0.1495542;155.4;12;"";4;0
7;47;7182;7180;"Nancy";54;"NANC";48.7157622;6.5815558;285.8;10.5;"";0;0
8;49;7658;7645;"Nimes";30;"NIME";43.8061367;4.5026861;71.1;7;"";4;0
9;50;7629;7629;"Toulouse";31;"TOUL";43.5743197;1.37625;157.8;29.3;"";4;0
10;51;7145;7145;"Trappes";78;"TRAP";48.7745706;2.0083094;166.5;23.7;"";4;0
11;52;7167;7168;"Arcis";10;"TROY";48.4621267;4.3093197;155.6;9.2;"";4;0
12;53;7461;7471;"Sembadel";43;"LEPU";45.2892203;3.709475;1115.2;28.2;"";4;0
13;54;7223;7223;"Treillieres";44;"TREI";47.3374061;-1.6563228;68.8;12.1;"";4;0
14;55;7569;7569;"Bollene";84;"BOLL";44.3229711;4.7621469;309.3;15.7;"";0;0
15;56;7108;7108;"Plabennec";29;"PLAB";48.4608847;-4.4298322;96.5;14.3;"";4;0
16;57;7745;7745;"Opoul";66;"OPOU";42.9183869;2.8649944;701.9;15.1;"";0;0
17;58;7381;7381;"StNizier";69;"NIZI";46.0678128;4.4453475;907.8;12;"";4;0
18;59;7671;7671;"Collobrieres";83;"COLL";43.21656;6.3729053;640.5;13.2;"";4;0
19;60;7714;7714;"Vars";5;"VARS";44.5875833;6.6530556;2575;5.7;"";4;0
20;61;7774;7774;"Aleria";20;"ALER";42.1297622;9.4963889;50.1;13.3;"";0;0
21;62;7637;7637;"Montclar";12;"MCLA";43.9904956;2.6096172;667.5;11.2;"";4;0
22;63;7083;7083;"Avesnes";59;"AVES";50.1283244;3.8118086;191.6;17.2;"";4;0
23;64;7336;7336;"Cherves";86;"CHER";46.6986378;0.0655547;159.4;15;"";4;0
24;65;7274;7274;"Blaisy";21;"BLAI";47.35515;4.7759425;592.1;15.1;"";4;0
25;66;7606;7606;"Momuy";40;"MOMU";43.6244728;-0.6094025;126.5;19.2;"";4;0
26;67;7291;7291;"Montancy";25;"MTCY";47.3686053;7.0189653;912.9;12.8;"";4;0
27;68;7572;7572;"Maurel";4;"MAUR";44.0127778;6.5291667;1772;6;"";4;0
28;69;7578;7578;"Colombis";5;"COBI";44.4961111;6.2205556;1736;21;"";4;0
100;24;3897;3897;"Jersey";;"JERS";49.178;-2.224;85;0;"";;
101;25;6699;6699;"La Dole";;"LDOL";46.4251;6.0994;1680;0;"";;
102;10;7694;7694;"Vial";;"VIAL";43.8944444;7.1527778;1547;0;"";;
200;92;61979;61979;"Colorado";974;"CORA";-20.9116667;55.4216667;742.2;7.6;"";0;0
201;93;61978;61978;"Piton Villers";974;"PVIL";-21.1903694;55.5735822;1712.5;7.6;"";4;0
202;90;78891;78891;"Le Moule";971;"LEMO";16.3144444;-61.3488889;25;13;"";0;0
203;91;78924;78924;"Diamant";972;"DIAM";14.5013889;-61.0175;377;10;"";0;0
204;94;91592;91592;"Noumea";988;"NOUM";-22.2761111;166.4527778;69;12.4;"";0;0
205;95;91582;91582;"Lifou";988;"LIFO";-20.9502778;167.2155556;42;20;"";;
206;96;91571;91571;"Tiebaghi";988;"TIEB";-20.4597222;164.215;595.38;38.76;"";;
